id_cliente,nome_cliente,cpf,sexo,cidade,estado,id_tipo_cliente
131,Esther Duarte,972.036.854-38,Feminino,Paraíso do Tocantins,TO,2
132,Emanuella Aparecida,378.465.192-55,Masculino,Vilhena,RO,1
133,Mathias Jesus,509.826.317-40,Feminino,Santa Maria,RS,1
134,Dra. Clarice Farias,125.873.960-77,Masculino,Ipatinga,MG,1
135,Marcos Vinicius Ramos,521.963.807-68,Masculino,Guarapari,ES,2
136,Fernando Cunha,573.169.048-01,Feminino,Tartarugalzinho,AP,1
137,Ágatha Sousa,805.641.392-89,Feminino,Belém,PA,1
138,Enzo Silveira,706.251.394-61,Masculino,Barra do Garças,MT,3
139,Sra. Isabel Nascimento,347.612.958-64,Masculino,Capela,SE,1
140,Sarah Moura,623.941.805-60,Feminino,Ponta Porã,MS,2
141,Sr. Valentim Campos,412.739.850-79,Masculino,Guarapuava,PR,2
142,Rael Ferreira,069.342.187-87,Feminino,Caruaru,PE,1
143,Sr. Arthur Dias,152.907.348-05,Feminino,Xapuri,AC,1
144,Sra. Melissa Pimenta,019.285.374-05,Masculino,Blumenau,SC,2
145,Kevin Campos,036.548.971-93,Feminino,Currais Novos,RN,1
146,Zoe Almeida,832.790.641-04,Masculino,Macaé,RJ,2
147,Bryan Moura,510.367.982-59,Feminino,Jaru,RO,1
148,Srta. Maria Alice Viana,153.860.247-44,Feminino,Fortaleza,CE,1
149,Dr. Erick Vasconcelos,792.610.345-43,Feminino,Guará,DF,1
150,Augusto Vieira,305.249.718-97,Masculino,Valparaíso de Goiás,GO,1
151,Esther da Paz,509.286.314-51,Masculino,Recife,PE,2
152,Maitê Cirino,795.642.081-49,Masculino,Corumbá,MS,2
153,Pedro Pereira,284.905.631-60,Masculino,Aracaju,SE,3
154,Pietro Pereira,627.830.951-30,Masculino,Palmas,TO,2
155,Benjamin Barbosa,652.014.397-99,Masculino,Ilhéus,BA,2
156,Isaac Vasconcelos,596.407.123-61,Masculino,Bayeux,PB,2
157,Dr. Pedro Miguel Teixeira,125.387.904-41,Masculino,Nova Cruz,RN,3
158,Srta. Sara Moreira,681.293.754-19,Masculino,Lagarto,SE,3
159,Sra. Gabriela Campos,217.853.096-68,Feminino,Rio de Janeiro,RJ,3
160,Manuella Santos,184.295.630-24,Masculino,Sinop,MT,1
161,Guilherme Vieira,237.094.516-80,Masculino,Coari,AM,3
162,Aurora Azevedo,467.935.081-48,Feminino,Santos,SP,2
163,Ana Sophia Machado,785.149.603-93,Masculino,Foz do Iguaçu,PR,2
164,Ana Laura Campos,824.169.537-37,Feminino,Campo Maior,PI,1
165,José Costa,842.579.063-83,Feminino,Tocantinópolis,TO,1
166,Daniela Cavalcante,950.678.421-30,Feminino,Guajará-Mirim,RO,2
167,Giovanna Vargas,960.354.281-42,Feminino,Iguatu,CE,3
168,Isabelly Rodrigues,647.059.132-99,Feminino,Currais Novos,RN,2
169,Nicole Costela,529.678.410-30,Masculino,Altamira,PA,1
170,Sr. Liam da Costa,714.385.069-10,Feminino,Araguaína,TO,1
171,Mariah da Cruz,258.163.479-00,Feminino,São Mateus,ES,2
172,Alícia Borges,687.194.203-31,Feminino,Belo Horizonte,MG,2
173,Thales Peixoto,740.693.182-40,Feminino,Maranguape,CE,1
174,Maria Clara Aparecida,603.249.815-89,Feminino,Betim,MG,3
175,Lara Pinto,912.037.458-50,Masculino,Curitiba,PR,2
176,Gael Henrique Pereira,860.791.243-78,Feminino,Oiapoque,AP,2
177,Théo Carvalho,592.347.861-73,Feminino,Ponta Grossa,PR,2
178,Dra. Letícia Melo,058.793.246-56,Masculino,João Pessoa,PB,1
179,Olívia da Luz,930.481.572-04,Feminino,Sinop,MT,1
180,Daniel Correia,075.316.842-17,Feminino,Garanhuns,PE,2
181,Dra. Ana Liz Santos,283.497.610-40,Feminino,Lages,SC,1
182,Yasmin Fernandes,854.731.692-28,Masculino,Luziânia,GO,1
183,Kaique Vargas,437.286.910-03,Masculino,São José,SC,1
184,Ísis Garcia,652.709.814-67,Feminino,Samambaia,DF,2
185,Jade Souza,738.642.509-00,Feminino,Balneário Camboriú,SC,3
186,Isabella da Cruz,083.519.462-06,Feminino,Manacapuru,AM,1
187,Sra. Beatriz Rodrigues,209.356.478-56,Masculino,Sobral,CE,1
188,Lorenzo da Paz,013.459.876-84,Feminino,Goiânia,GO,3
189,Miguel Viana,724.068.519-58,Feminino,Pelotas,RS,2
190,Ísis Moura,729.810.645-76,Feminino,Manaus,AM,2
191,Jade Silva,205.694.183-05,Masculino,Camaragibe,PE,1
192,Sophie Duarte,169.783.204-04,Masculino,Trindade,GO,1
193,Matheus da Costa,745.289.016-76,Masculino,Lucas do Rio Verde,MT,1
194,Srta. Ana Liz Rios,174.938.250-41,Feminino,Vitória da Conquista,BA,2
195,Laís Freitas,938.176.524-37,Feminino,Oiapoque,AP,1
196,Olivia Sá,839.540.721-14,Masculino,Nova Cruz,RN,2
197,Daniel Araújo,893.461.572-91,Feminino,Nossa Senhora da Glória,SE,1
198,Gustavo Silva,971.430.568-39,Feminino,Santa Inês,MA,3
199,Ana Laura Novais,740.329.158-14,Masculino,Macaé,RJ,1
200,Otávio Ferreira,180.736.294-96,Feminino,Itabaiana,SE,2
201,Otto Freitas,679.304.128-22,Masculino,Rorainópolis,RR,1
202,Felipe Nascimento,682.510.497-76,Feminino,Londrina,PR,1
203,Ísis Lima,863.172.950-77,Masculino,Sapé,PB,2
204,Srta. Ana Beatriz Ribeiro,603.185.497-00,Feminino,Linhares,ES,2
205,Augusto Guerra,738.601.254-35,Masculino,Oiapoque,AP,3
206,Luna da Costa,423.785.096-00,Masculino,Ananindeua,PA,2
207,Mariane Novais,705.963.241-70,Masculino,Anápolis,GO,1
208,Clarice da Rosa,627.198.530-03,Feminino,Santo André,SP,2
209,Maria Sophia Leão,892.317.560-95,Feminino,Campina Grande,PB,2
210,Maria Eduarda Borges,830.294.756-38,Feminino,Viamão,RS,3
211,Helena Mendes,354.018.627-17,Feminino,Campina Grande,PB,2
212,Gustavo Gonçalves,385.629.471-64,Masculino,Chapecó,SC,2
213,José Pedro Fonseca,879.053.261-95,Masculino,Oiapoque,AP,3
214,Dr. Augusto Nunes,320.845.917-32,Masculino,São Cristóvão,SE,2
215,Lucas da Conceição,637.452.918-91,Feminino,Garanhuns,PE,2
216,Eloá Siqueira,528.943.170-50,Feminino,Quixadá,CE,1
217,Ana Beatriz Barbosa,096.157.823-86,Feminino,Pedra Branca do Amapari,AP,1
218,Henrique Montenegro,750.486.321-17,Feminino,Uberlândia,MG,3
219,André Nascimento,860.742.591-94,Feminino,Cametá,PA,1
220,Cauê Brito,823.145.967-73,Masculino,Dianópolis,TO,1
221,Anna Liz Freitas,673.512.048-53,Feminino,Betim,MG,1
222,Nathan Garcia,687.059.143-10,Feminino,Teresina,PI,2
223,Luísa Nunes,180.964.357-01,Feminino,Belém,PA,1
224,João Lucas Nogueira,902.678.154-76,Masculino,Assu,RN,2
225,Sra. Ana Vitória da Rosa,236.549.870-10,Feminino,Planaltina,DF,2
226,Dra. Anna Liz Montenegro,501.378.269-40,Masculino,Cabedelo,PB,1
227,Sr. João Gabriel Viana,793.248.501-05,Masculino,Pelotas,RS,1
228,Juan da Cruz,194.836.572-37,Masculino,Foz do Iguaçu,PR,1
229,Caleb Abreu,475.620.198-94,Masculino,Campina Grande,PB,2
230,Melissa Novais,896.075.234-74,Feminino,Petrolina,PE,2
231,Lunna Gomes,046.398.125-15,Masculino,Cametá,PA,3
232,Maria Helena Cavalcante,248.931.057-79,Masculino,Guarabira,PB,1
233,Otto da Rosa,715.283.940-97,Masculino,Currais Novos,RN,2
234,Kevin Abreu,659.723.810-95,Feminino,Mazagão,AP,2
235,Lorenzo Pereira,375.192.486-82,Masculino,Ipatinga,MG,1
236,Isabelly Duarte,649.208.175-76,Feminino,Codó,MA,2
237,Amanda Siqueira,739.620.851-30,Feminino,Ilhéus,BA,2
238,Kevin da Costa,426.730.581-17,Feminino,Ipatinga,MG,2
239,Maria Liz Nascimento,860.924.735-00,Masculino,Sousa,PB,3
240,Maria Cavalcante,906.723.845-74,Feminino,Campos dos Goytacazes,RJ,1
241,Henry Moraes,893.726.450-10,Feminino,Penedo,AL,2
242,Sr. Rodrigo Caldeira,461.057.293-16,Masculino,Rondonópolis,MT,2
243,Gabrielly Moreira,759.038.261-21,Feminino,Jequié,BA,3
244,Danilo Almeida,512.984.670-20,Feminino,Maués,AM,1
245,Dr. Ravi da Conceição,628.593.407-00,Masculino,Sena Madureira,AC,1
246,Mariane Gomes,038.259.467-38,Feminino,Pedra Branca do Amapari,AP,2
247,Dr. Gael Henrique Marques,147.852.369-73,Masculino,Sete Lagoas,MG,2
248,Bruna Ferreira,572.698.043-38,Feminino,Ipatinga,MG,1
249,Sr. Isaque das Neves,125.794.360-06,Masculino,Guajará-Mirim,RO,3
250,Maria Isis Lima,279.413.806-50,Feminino,Mossoró,RN,1
251,Dr. Benjamim Fogaça,072.134.568-90,Masculino,Vila Velha,ES,1
252,Melina Mendonça,210.689.753-77,Feminino,Nossa Senhora do Socorro,SE,1
253,Laura Cavalcante,791.402.635-25,Masculino,Rio Branco,AC,1
254,Sra. Ísis Cunha,613.207.985-86,Masculino,Paço do Lumiar,MA,1
255,Bárbara Vasconcelos,395.674.802-65,Masculino,Aracruz,ES,1
256,Gustavo Araújo,954.761.238-73,Feminino,Juazeiro do Norte,CE,1
257,João Felipe Moraes,126.089.475-49,Masculino,São Gonçalo do Amarante,RN,2
258,Sra. Isadora Teixeira,672.458.319-55,Feminino,São Mateus,ES,2
259,Caleb Guerra,845.362.097-00,Feminino,Goiânia,GO,3
260,Sra. Maria Alice Azevedo,863.719.254-82,Feminino,Balsas,MA,1
261,Sr. Ryan Viana,508.793.642-38,Feminino,Paranaíba,MS,1
262,Mirella Abreu,632.571.904-25,Feminino,Santa Maria,RS,2
263,Bryan Freitas,206.591.378-95,Masculino,Sobradinho,DF,3
264,Srta. Agatha Cunha,712.486.309-04,Feminino,Guarapari,ES,2
265,Sra. Bárbara Lima,271.830.456-17,Feminino,Santa Maria,RS,1
266,Dr. Davi Miguel Garcia,291.460.738-50,Masculino,Goiânia,GO,2
267,Srta. Clarice Jesus,973.061.524-16,Feminino,Assu,RN,2
268,Dr. Levi Vieira,234.501.986-70,Feminino,Itabaiana,SE,2
269,Liz Costela,893.572.061-59,Masculino,Cariacica,ES,2
270,Brenda da Costa,710.268.354-53,Masculino,Ji-Paraná,RO,3
271,Sr. Ravy Vargas,109.827.634-50,Feminino,Bacabal,MA,1
272,Laura Pires,869.530.174-57,Feminino,Blumenau,SC,1
273,Bruno Moraes,325.940.861-42,Masculino,Uberaba,MG,1
274,Srta. Ana Laura da Cruz,169.345.078-00,Feminino,São José dos Campos,SP,3
275,Anthony Gabriel Santos,209.374.581-04,Masculino,Altos,PI,3
276,João Felipe Siqueira,105.632.897-59,Feminino,Trindade,GO,3
277,Mirella Moraes,507.641.289-49,Feminino,Chapecó,SC,2
278,Danilo da Conceição,809.671.542-94,Masculino,Laranjal do Jari,AP,2
279,Clarice Cavalcanti,086.127.354-08,Feminino,Cantá,RR,3
280,Breno Oliveira,510.864.793-00,Masculino,Tartarugalzinho,AP,1
281,Larissa Vasconcelos,451.930.267-61,Feminino,Sousa,PB,2
282,Liz Sousa,937.248.160-22,Feminino,Campos dos Goytacazes,RJ,2
283,André Jesus,035.769.241-16,Feminino,Manacapuru,AM,2
284,Dra. Lorena Caldeira,389.760.125-77,Feminino,São Gonçalo do Amarante,RN,2
285,Augusto da Conceição,865.370.429-92,Masculino,Santa Maria,RS,2
286,Maria Júlia Barbosa,906.517.243-25,Feminino,Salvador,BA,3
287,Lunna Dias,743.015.692-43,Masculino,Jaboatão dos Guararapes,PE,1
288,Rael Martins,561.427.389-19,Feminino,Lucas do Rio Verde,MT,1
289,Dante Borges,240.196.753-25,Masculino,Duque de Caxias,RJ,3
290,Dr. Théo Aragão,492.035.168-24,Feminino,Tocantinópolis,TO,2
291,Davi Miguel Campos,093.167.248-13,Feminino,Penedo,AL,1
292,Joana Barbosa,013.578.946-00,Feminino,Colatina,ES,1
293,Ravi Aragão,268.307.451-44,Feminino,São José dos Pinhais,PR,1
294,Francisco da Mota,472.095.183-04,Feminino,Taguatinga,DF,3
295,Maria Sophia Novaes,701.239.586-95,Masculino,Oiapoque,AP,2
296,Ísis Vieira,065.348.271-07,Masculino,Penedo,AL,1
297,Júlia Cirino,053.926.781-30,Masculino,Santos,SP,1
298,Isabel Castro,138.240.967-22,Masculino,Nova Iguaçu,RJ,2
299,Sr. Felipe da Costa,958.402.167-20,Masculino,Contagem,MG,2
300,Ágatha das Neves,270.861.453-35,Feminino,Anápolis,GO,3
301,Lucas Pimenta,325.718.094-23,Masculino,Guarulhos,SP,1
302,Cecília Vasconcelos,185.023.697-68,Masculino,Salvador,BA,1
303,Sr. Emanuel Siqueira,675.184.203-17,Feminino,Belford Roxo,RJ,1
304,Lorena Siqueira,428.509.376-65,Masculino,Palmeira dos Índios,AL,2
305,Liam Pimenta,317.820.695-77,Feminino,Joinville,SC,2
306,Caio Santos,570.219.846-85,Masculino,Pedro II,PI,1
307,Alexandre Aragão,679.135.482-82,Feminino,Natal,RN,2
308,Rhavi Viana,932.805.741-88,Feminino,João Pessoa,PB,1
309,Cauã Barbosa,526.190.478-11,Feminino,Cáceres,MT,2
310,Srta. Marina Rezende,269.087.153-02,Masculino,Novo Hamburgo,RS,1
311,Dra. Ágatha da Luz,493.067.852-83,Masculino,Sete Lagoas,MG,1
312,Sr. Paulo Borges,473.061.928-50,Feminino,Senador Canedo,GO,2
313,Renan Camargo,467.352.091-25,Feminino,Barra do Garças,MT,2
314,Léo Garcia,527.083.416-26,Masculino,Pedro II,PI,1
315,Bento Cassiano,195.643.820-33,Masculino,Machadinho d'Oeste,RO,2
316,Stephany Leão,873.920.654-83,Feminino,Cametá,PA,3
317,Stella Oliveira,921.637.408-03,Masculino,Governador Valadares,MG,1
318,Asafe Lima,163.859.240-33,Feminino,Uberaba,MG,1
319,Mathias Novais,685.924.301-51,Feminino,Três Lagoas,MS,2
320,Oliver Cassiano,218.409.673-31,Masculino,Santana,AP,2
321,Raquel Oliveira,970.123.654-80,Feminino,Ananindeua,PA,2
322,Miguel Farias,307.268.519-30,Feminino,Guarulhos,SP,2
323,Samuel Sampaio,132.758.694-00,Feminino,Rorainópolis,RR,1
324,Aurora Correia,736.584.209-10,Feminino,Florianópolis,SC,3
325,Leonardo Santos,862.945.037-10,Masculino,Dourados,MS,2
326,Benjamin da Cruz,079.251.643-52,Masculino,Ilhéus,BA,1
327,Maria Laura Porto,103.274.589-41,Feminino,Aquidauana,MS,1
328,Marcela Ferreira,241.903.586-06,Masculino,Nova Iguaçu,RJ,2
329,Henry Gabriel Rocha,346.805.972-83,Feminino,Macaíba,RN,1
330,Alexia Câmara,498.362.510-06,Feminino,Santa Maria,RS,3
331,Liz Rocha,861.042.579-76,Feminino,Sena Madureira,AC,3
332,Ana Luiza Fernandes,459.286.107-85,Masculino,Laranjal do Jari,AP,2
333,Nathan Ribeiro,520.938.416-06,Feminino,Vitória do Jari,AP,1
334,Ana Carolina Pacheco,935.761.824-46,Feminino,Sousa,PB,1
335,Letícia Cavalcante,824.031.956-42,Masculino,Chapecó,SC,2
336,Lívia Rezende,135.972.864-37,Masculino,Palmeira dos Índios,AL,1
337,Juan Martins,170.654.893-10,Feminino,Rorainópolis,RR,1
338,Bárbara Rodrigues,684.301.759-20,Feminino,Vitória de Santo Antão,PE,1
339,Natália Casa Grande,521.387.960-86,Feminino,Recanto das Emas,DF,1
340,Rael da Mota,328.901.674-96,Feminino,Coari,AM,2
341,Mariane Mendes,608.412.753-35,Feminino,Floriano,PI,1
342,André Pires,395.210.867-77,Feminino,Natal,RN,1
343,Benício Aparecida,497.586.210-76,Feminino,Ceilândia,DF,2
344,Dr. Luiz Henrique Sá,326.015.478-71,Feminino,Uberlândia,MG,1
345,Sofia Cavalcante,150.382.746-17,Masculino,Juazeiro do Norte,CE,1
346,Bianca Rezende,091.365.827-86,Feminino,Altos,PI,2
347,Daniela Costela,046.598.237-92,Masculino,Tartarugalzinho,AP,3
348,Bella Moraes,914.063.825-15,Masculino,Belém,PA,2
349,Vicente Costa,564.107.398-93,Feminino,Sete Lagoas,MG,1
350,Sr. Alexandre Albuquerque,197.804.523-97,Feminino,Viamão,RS,1
351,Igor Marques,497.061.582-94,Feminino,Brasileia,AC,1
352,Luara Lima,190.785.243-32,Masculino,Colinas do Tocantins,TO,1
353,Juliana Siqueira,158.903.462-70,Masculino,Guarapari,ES,2
354,Pietra Leão,219.560.843-98,Masculino,Tangará da Serra,MT,2
355,Rafaela Nunes,726.984.053-92,Masculino,Contagem,MG,1
356,Raquel Camargo,670.825.943-56,Feminino,Altos,PI,1
357,Maitê Moreira,816.579.342-09,Masculino,Três Lagoas,MS,1
358,Benjamim Albuquerque,287.631.049-03,Masculino,Rio Verde,GO,1
359,Lucas da Mota,083.457.692-92,Feminino,Nossa Senhora do Socorro,SE,1
360,Melina Oliveira,719.320.654-07,Feminino,Sapé,PB,2
361,Nathan Jesus,089.674.235-00,Feminino,Iracema,RR,2
362,Mirella Fernandes,503.672.941-25,Masculino,Rolim de Moura,RO,1
363,Sra. Bruna Brito,305.276.498-56,Feminino,Camaragibe,PE,2
364,Enzo Monteiro,261.947.503-16,Masculino,Rio de Janeiro,RJ,1
365,Raul Viana,351.690.472-07,Masculino,Bacabal,MA,2
366,Sofia Carvalho,708.436.529-00,Masculino,Ponta Porã,MS,1
367,Dra. Emanuella Siqueira,216.547.938-09,Feminino,Nova Cruz,RN,2
368,Isadora da Mota,654.318.927-46,Masculino,Volta Redonda,RJ,3
369,Dra. Luara Silva,839.142.570-32,Feminino,Sapé,PB,2
370,Dra. Emanuelly Montenegro,851.624.397-46,Masculino,Assu,RN,2
371,Yasmin da Paz,601.837.925-21,Feminino,Campina Grande,PB,2
372,João Felipe Sá,248.109.675-49,Masculino,Caxias do Sul,RS,2
